aja,saja
adlh,adalah
add on, tambahan
akn,akan
and,dan
anda,kamu
ane,saya
ap,apa
aps,aplikasi
adem ayem,tenang
adem,sejuk
anjir, anjing
asu, anjing
aktivitastanpabatas, aktifitas tanpa batas
anjrit, anjing
annjg, anjing
ajg, anjing
ampun, menyerah
benernya,sebenarnya
bener,benar
beud,sangat
gmn,bagaimana
bgmn,bagaimana
bkan,bukan
blg,bilang
blh,boleh
bnyak,banyak
blm,belum
blom,belum
blum,belum
bs,bisa
bsa,bisa
krja,kerja
byk,banyak
bnyk,banyak
bsk,besok
bahlul,bodoh
bapuk, buruk
bgttt, begitu
beliii, beli
busyeeet, astaga
bet, banget
bgst, bangsat
bagimna, bagaimana
batalin, batalkan
buzzer, penyebar rumor
bgt, sangat
bdmood, marah
bner, benar
buruan, cepat
bales, balas
bgt, sangat
bener, benar
bkn, bukan
cb,coba
cm,hanya
cma,hanya
cuma,hanya
come, ayok
cueki, tidak peduli
can't, tidak bisa
check, memeriksa
connect, hubung
cekkin, periksa
cape, capek
cdm, periksa dm
cek, periksa
cpk, capek
d,di
dngn,dengan
dg,dengan
demen,suka
dasyat,dahsyat
dgn,dengan
dlam,dalam
dlm,dalam
dn,dan
dng,dengan
dpt,dapat
dsar,dasar
dy,dia
dya,dia
dlm, dalam
dibayar, bayar
dilaporin, lapor
diamkan, diam
drop, penurunan
direstartt, direstart
drmh, dirumah
daritadi, dari tadi
digagas, kerjakan
diprioritaskan, prioritas
dipercepat, percepat
ditindak, tindak
dear, kepada
diemen,diam
dadi, jadi
dm, pesan
dkk, dan kawan kawan
down, mati
en,dan
enggak,tidak
ente,kamu
eror, rusak
error, rusak
embunpagi, embun pagi
edan, gila
emg, memang
friend, teman
gimana,bagaimana
gemana,gimana
g,tidak
ga,tidak
gak,tidak
gitu,begitu
gk,tidak
gt,begitu
tau,tahu
gtau,tidak tahu
gua,saya
gub,gubernur
die,dia
gue,saya
gw,saya
gawean,kerja
gaada, tidak ada
gasampe, tidak sampai
grgr, karena
gapunya, tidak punya
gabisaa, tidak bisa
gacor, cepat
gimana, bagaimana
gini, seperti
gangguanfm, gangguan firstmedia
gyusss, kawan-kawan
guys, kawan-kawan
gapake, tidak pakai
gimanaaaaa, bagaimana
gak, tidak
gblk, goblok
gapapa, tidak masalah
gblok, goblok
hy,hanya
hny,hanya
hr,hari
hrus,harus
hkmn,hukuman
halooo, halo
he, hei
halooooo, halo
help, tolong
iy,iya
iye,iya
indigo, indihome
jd,jadi
jdi,jadi
jg,juga
jga,juga
jgn,jangan
jlas,jelas
jlek,jelek
jls,jelas
jng,jangan
jgn,jangan
janga, jangan
Kalopun,kalau pun
ktahuan,ketahuan
kalo,kalau
karna,karena
kau,kamu
kl,kalau
ksh,kasih
klh,kalah
klo,kalau
klu,kalau
klw,kalau
km,kamu
knapa,kenapa
ko,kok
kog,kok
koq,kok
kpada,kepada
kpd,kepada
kpn,kapan
kreatip,kreatif
ktm,ketemu
kya,seperti
konco,teman
konek, hubung
keblokir, blokir
kedip kedip, mati nyala
kabeludara, kabel udara
kenape, kenapa
kepedean, percaya diri
kmrn, kemarin
keatasan, ke atasan
knp, kenapa
lbh,lebih
lbih,lebih
lg,lagi
lht,lihat
liat,lihat
liatin,lihat
lngsng,langsung
loe,kamu
lputan,liputan
lu,kamu
lw,kamu
losss, rusak
los, rusak
loc, lokasi
lag, lambat
lemott, lambat
liay, lihat
liat, lihat
lemod, lambat
loading, memuat
lgi, lagi
lmot, lambat
lemot, lambat
lagiii, lagi
lol, lucu
med,selamat
mentri,menteri
met,selamat
mjd,menjadi
mksd,maksud
mngalami,mengalami
mngubah,mengubah
mnjadi,menjadi
mntri,menteri
mo,mau
mw,mau
males, malas
mulu, terus
mb, megabite
ngelawan,melawan
ngk,tidak
nich,ini
n,dan
nganggur, menganggur
ngakunya,mengakunya
ngaku,mengaku
napa,kenapa
ndak,tidak
np,kenapa
ni,ini
nnt,nanti
ntn,nonton
ner, benar
ngelag, lambat
ngilang, rusak
nggak,tidak
nething, berpikir buruk
pkai, pakai
pagii, pagi
ngomel, ribut
ngeselin, kesal
ngapokin, tobat
napadahh, kenapa
nggonku, tempat aku
neng, di
ngeleg, lambat
ngalamin, mengalami
mknya,makanya
mnjga,menjaga
mnjaga,menjaga
mencari, cari
mauuu, mau
mauu, mau
masal, massal
min, admin
masalkah, massal
mslh, masalah
ofc, tentu
piawa,pandai
punten, permisi
pilkas, pilih kasih
plz, tolong
psang, pasang
pembayaran, bayar
pedot, putus
pastiberes, pasti beres
quizjempol, quiz jempol
relate, berhubungan
registrasi, pendaftaran
really, serius
rto, rusak
rugikan, rugi
read, baca
sj,saja
smua,semua
smooa, semua
smgt, semangat
sakjam, sejam
syelalu, selalu
seenggaknya,setidaknya
sie, sih
sblmnya,sebelumnya
suudzon, berprasangka buruk
say, saya
sad, sedih
skrng, sekarang
semangatdigitalmuda, semangat digital muda
sy, saya
thn,tahun
tmn,teman
tlong, tolong
tlg, tolong
tgl, tinggal
tlp, telpon
tengs, terimakasih
tbtb, tiba-tiba
trouble, masalah
tanggungjawabnya, tanggung jawabnya
teros, terus
toloooongg, tolong
troubleeeeeee, masalah
uwe, aku
usa, perlu
vewarna, berwarna
wooiiii, woi
woiiii, woi
woy, woi
yaampun, astaga